;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
90;11125148;11133317;12414256;12681986;15447635;15716371;17031838;17386945;18804515;19117278;20302945;21413069;22321646;22490923;25138546;26756589;26410213;27845254
91;10724111;11162273;12117366;12595185;15251915;15758039;16735070;18633804;18180187;19285142;19793582;21259166;22906790;23536078;23202660;25957723;26787138;28207733
92;11049668;11690592;12678633;12781738;15219591;15994098;16795083;17218001;17850833;19201210;19943069;21289169;22006990;22975442;23070748;25589519;27474914;28498276
93;11192625;11733708;12093602;14642476;15178381;15486339;16839610;17579884;17962221;20027229;19923200;20146605;22752524;23555020;24531048;25398299;26606418;27079534
94;10988032;11352615;11969334;12646132;15313521;15993629;16885422;16903801;18511683;19199402;20346460;21533882;22487600;23555736;24416356;24436318;27814379;27904952
95;10862705;11733725;12238608;12873853;15301594;15390216;16465531;18004121;18245041;18952070;20421146;20814962;21839177;22956664;24294906;26147316;25635920;29159044
96;10981759;11523276;12452537;12740580;15178178;15901646;16476414;17329424;18345985;18330872;19540067;21390505;22100534;23596061;24672000;26252986;27622140;28246033
97;10812035;11545156;12495632;14642461;15601601;15799797;16400162;17784808;18442810;19680634;20381530;20336659;22995200;23816958;25489985;25809402;27344239;26946502
98;10750340;11338191;12582081;12601170;14755597;15935259;16221599;17265148;18234517;19705104;19777579;21273929;23094707;23132694;25129023;25608023;26722017;27011016
99;10688201;11157567;12372250;12811732;15601527;15846769;17073983;17214562;19018279;19176830;20173425;21976506;22552189;24041245;20883154;24709370;27474521;28410773
100;11252531;11682339;12218703;12655327;15475952;15728295;16533609;17125924;18644424;18829695;19693783;21211551;22704853;24069223;24858795;26302782;26928344;28300650
101;10700502;11334275;12194877;12852538;15122719;15652321;17946437;17803757;18703030;18702592;19660559;21676130;22770650;23761912;25272154;26106526;26870938;28177183
102;10821997;11332459;12480483;14505337;15528108;16169252;16452664;16861335;18068933;19307555;20980595;21943208;22590530;23447626;24369435;25595501;26939128;28230070
103;10725185;11313293;12405975;12599276;14730193;15544421;16628466;17712279;17483530;19084385;20044901;20850555;22617678;23382821;25977761;26581388;27926435;28699372
104;10978708;11726800;12351738;14570163;15476691;16024258;16513369;18030926;18370603;19236924;19945471;21347239;22659003;23602726;25146577;26392031;25924952;28169883
